puzzle_id	x	y
0	-0.2967	-0.4067
0	0.68	-0.4167
0	0.8167	0.6133
0	-0.22	0.5833
1	0.5467	-0.7033
1	-0.4467	-0.4167
1	0.39	0.32
1	-0.6133	0.5633
2	0.6467	-0.3033
2	-0.3633	-0.1067
2	0.7567	0.7433
2	-0.11	0.8467
3	0.03	-0.56
3	0.8433	-0.25
3	0.7867	0.71
3	-0.3133	0.35
4	0.13	-0.4567
4	-0.8	-0.3
4	0.2733	0.5167
4	-0.8167	0.72
5	-0.5767	-0.7733
5	0.4367	-0.54
5	0.5867	0.3933
5	-0.3967	0.29
6	-0.6733	-0.6167
6	0.3767	-0.2967
6	0.2967	0.6567
6	-0.5967	0.3933
7	0.69	-0.61
7	-0.3333	-0.5467
7	0.43	0.4233
7	-0.5433	0.42
8	0.8	-0.6533
8	-0.2967	-0.3967
8	0.6	0.3967
8	-0.31	0.5567
9	-0.59	-0.1933
9	0.41	-0.17
9	0.4367	0.8767
9	-0.5267	0.7433
10	0.33	-0.9233
10	-0.65	-0.91
10	0.2067	0.1367
10	-0.7633	-0.1067
11	-0.81	-0.58
11	0.2267	-0.4233
11	0.03	0.5667
11	-0.9	0.3633
12	0.24	-0.6467
12	-0.6767	-0.4367
12	0.3733	0.3233
12	-0.6667	0.5633
13	-0.75	-0.28
13	0.28	-0.13
13	0.05	0.8433
13	-0.78	0.7333
14	0.83	-0.4133
14	-0.1867	-0.42
14	0.7733	0.5733
14	-0.2133	0.5867
15	0.8967	-0.57
15	-0.21	-0.3533
15	0.8133	0.45
15	-0.0333	0.5933
16	-0.15	-0.5633
16	0.84	-0.5233
16	0.82	0.4833
16	-0.1967	0.44
17	0.0833	-0.56
17	-0.8033	-0.27
17	0.3633	0.3967
17	-0.6867	0.6733
18	0.0267	-0.41
18	-0.8267	-0.1067
18	0.3533	0.4733
18	-0.79	0.8967
19	-0.6333	-0.5633
19	0.3667	-0.48
19	0.1667	0.52
19	-0.8067	0.3833
20	0.0533	-0.48
20	-0.8867	-0.2267
20	0.2567	0.52
20	-0.7767	0.6467
21	-0.77	-0.85
21	0.36	-0.3967
21	0.1867	0.4767
21	-0.67	0.2433
22	0.25	-0.04
22	-0.68	-0.2867
22	0.2033	0.88
22	-0.94	0.9367
23	-0.5633	-0.5667
23	0.4367	-0.4867
23	0.6	0.5067
23	-0.4067	0.4433
24	-0.28	-0.4967
24	0.6267	-0.2033
24	0.2467	0.6633
24	-0.69	0.4833
25	0.16	-0.48
25	-0.75	-0.15
25	0.4933	0.5167
25	-0.4967	0.6967
26	-0.58	-0.3033
26	0.4067	-0.4
26	0.6	0.63
26	-0.4	0.6533
27	0.38	-0.3367
27	-0.5933	-0.1033
27	0.5967	0.7033
27	-0.3733	0.8067
28	-0.6567	-0.58
28	0.3633	-0.32
28	0.0267	0.63
28	-0.8433	0.3367
29	0.2233	-0.3367
29	-0.7067	0.0267
29	0.5133	0.69
29	-0.46	0.85
30	0.35	-0.4867
30	-0.62	-0.2833
30	0.4367	0.4933
30	-0.5867	0.7167
31	0.79	-0.9267
31	-0.26	-0.91
31	0.7667	0.11
31	-0.2333	0.0867
32	0.5067	-0.1133
32	-0.4967	-0.1533
32	0.4667	0.87
32	-0.54	0.8733
33	-0.2833	-0.4967
33	0.6967	-0.38
33	0.6133	0.6067
33	-0.4033	0.5033
34	-0.11	-0.43
34	0.8167	-0.1933
34	0.7533	0.7633
34	-0.3233	0.5433
35	0.3467	-0.6067
35	-0.6467	-0.63
35	0.18	0.4133
35	-0.8033	0.28
36	-0.5667	-0.43
36	0.4333	-0.1233
36	0.07	0.7867
36	-0.7467	0.5833
37	-0.2067	-0.7733
37	0.66	-0.6333
37	0.8	0.2467
37	-0.2233	0.2367
38	-0.3467	-0.3
38	0.5867	-0.3867
38	0.8767	0.6967
38	-0.1933	0.6467
39	-0.5833	-0.6467
39	0.43	-0.54
39	0.54	0.4433
39	-0.4567	0.38
40	0.8567	-0.94
40	-0.3	-0.8367
40	0.6667	0.23
40	-0.2833	0.0933
41	0.22	-0.2233
41	-0.6967	0.18
41	0.5233	0.85
41	-0.4467	0.9267
42	0.2	-0.63
42	-0.6667	-0.26
42	0.6667	0.2133
42	-0.1867	0.61
43	0.4533	-0.7933
43	-0.5267	-0.6867
43	0.3067	0.2633
43	-0.68	0.2133
44	-0.23	-0.5467
44	0.7233	-0.4267
44	0.7433	0.5833
44	-0.3033	0.4467
45	-0.8767	-0.7633
45	0.1633	-0.71
45	0.0867	0.2967
45	-0.9033	0.2
46	0.8733	-0.8067
46	-0.1567	-0.7933
46	0.8067	0.2633
46	-0.1867	0.1967
47	0.3433	-0.4333
47	-0.6067	-0.2767
47	0.3633	0.5167
47	-0.7133	0.7867
48	-0.83	-0.87
48	0.3033	-0.6867
48	0.3833	0.2133
48	-0.5367	0.29
49	-0.39	-0.4367
49	0.5567	-0.0667
49	0.1667	0.7933
49	-0.69	0.5733
50	0.81	-0.8067
50	-0.33	-0.4367
50	0.6867	0.2867
