puzzle_id	x	y
0	0.4533	-0.8533
0	0.44	-0.9967
0	0.9967	-0.9967
0	0.9967	-0.8533
0	-1.0	-0.8067
0	-1.0	-0.9967
0	0.44	-0.9967
0	0.4533	-0.8533
0	0.44	1.0
0	0.4533	-0.8533
0	0.9967	-0.8533
0	0.9967	1.0
0	-1.0	1.0
0	-1.0	-0.8067
0	0.4533	-0.8533
0	0.44	1.0
1	0.4767	-0.5233
1	0.4967	-0.9967
1	0.9967	-0.9967
1	0.9967	-0.8467
1	-1.0	0.4433
1	-1.0	-0.9967
1	0.4967	-0.9967
1	0.4767	-0.5233
1	0.35	1.0
1	0.4767	-0.5233
1	0.9967	-0.8467
1	0.9967	1.0
1	-1.0	1.0
1	-1.0	0.4433
1	0.4767	-0.5233
1	0.35	1.0
2	-1.0	0.0067
2	-1.0	-0.9967
2	0.0433	-0.9967
2	-0.5233	0.1567
2	0.9967	0.69
2	-0.5233	0.1567
2	0.0433	-0.9967
2	0.9967	-0.9967
2	-0.93	1.0
2	-0.5233	0.1567
2	0.9967	0.69
2	0.9967	1.0
2	-0.93	1.0
2	-0.93	1.0
2	-1.0	0.0067
2	-0.5233	0.1567
3	0.0633	0.14
3	-1.0	-0.1067
3	-1.0	-0.9967
3	0.1	-0.9967
3	0.9967	0.38
3	0.0633	0.14
3	0.1	-0.9967
3	0.9967	-0.9967
3	0.0467	1.0
3	0.0633	0.14
3	0.9967	0.38
3	0.9967	1.0
3	-1.0	1.0
3	-1.0	-0.1067
3	0.0633	0.14
3	0.0467	1.0
4	0.72	-0.5033
4	0.8167	-0.9967
4	0.9967	-0.9967
4	0.9967	-0.7033
4	-1.0	0.8667
4	-1.0	-0.9967
4	0.8167	-0.9967
4	0.72	-0.5033
4	0.3767	1.0
4	0.72	-0.5033
4	0.9967	-0.7033
4	0.9967	1.0
4	-1.0	1.0
4	-1.0	0.8667
4	0.72	-0.5033
4	0.3767	1.0
5	-0.7367	-0.16
5	-1.0	-0.2733
5	-1.0	-0.9967
5	-1.0	-0.9967
5	0.9967	0.6733
5	-0.7367	-0.16
5	-1.0	-0.9967
5	0.9967	-0.9967
5	-0.7367	-0.16
5	0.9967	0.6733
5	0.9967	1.0
5	-0.4533	1.0
5	-0.4533	1.0
5	-1.0	1.0
5	-1.0	-0.2733
5	-0.7367	-0.16
6	-0.0933	0.2467
6	0.1533	-0.9967
6	0.9967	-0.9967
6	0.9967	-0.4167
6	-1.0	0.8233
6	-1.0	-0.9967
6	0.1533	-0.9967
6	-0.0933	0.2467
6	-0.2633	1.0
6	-0.0933	0.2467
6	0.9967	-0.4167
6	0.9967	1.0
6	-1.0	1.0
6	-1.0	0.8233
6	-0.0933	0.2467
6	-0.2633	1.0
7	-0.74	0.63
7	-0.0767	-0.9967
7	0.9967	-0.9967
7	0.9967	-0.3867
7	-1.0	0.7967
7	-1.0	-0.9967
7	-0.0767	-0.9967
7	-0.74	0.63
7	-0.9067	1.0
7	-0.74	0.63
7	0.9967	-0.3867
7	0.9967	1.0
7	-1.0	1.0
7	-1.0	0.7967
7	-0.74	0.63
7	-0.9067	1.0
8	0.4367	-0.4033
8	0.93	-0.9967
8	0.93	-0.9967
8	0.9967	-0.6533
8	-0.9967	0.2833
8	-1.0	-0.9967
8	0.93	-0.9967
8	0.4367	-0.4033
8	-0.75	1.0
8	0.4367	-0.4033
8	0.9967	-0.6533
8	0.9967	1.0
8	-1.0	1.0
8	-0.9967	0.2833
8	0.4367	-0.4033
8	-0.75	1.0
9	-1.0	0.32
9	-1.0	-0.9967
9	-0.4	-0.9967
9	-0.7567	0.3367
9	0.9967	0.5633
9	-0.7567	0.3367
9	-0.4	-0.9967
9	0.9967	-0.9967
9	-0.9267	0.9933
9	-0.7567	0.3367
9	0.9967	0.5633
9	0.9967	1.0
9	-0.9267	0.9933
9	-1.0	0.32
9	-0.7567	0.3367
9	-0.9267	0.9933
10	0.6567	-0.9967
10	0.6267	-0.8867
10	-1.0	-0.89
10	-1.0	-0.9967
10	0.9967	-0.87
10	0.6267	-0.8867
10	0.6567	-0.9967
10	0.9967	-0.9967
10	0.32	1.0
10	0.6267	-0.8867
10	0.9967	-0.87
10	0.9967	1.0
10	-1.0	1.0
10	-1.0	-0.89
10	0.6267	-0.8867
10	0.32	1.0
11	0.2133	-0.9967
11	-0.13	-0.3833
11	-1.0	-0.85
11	-1.0	-0.9967
11	0.9967	0.25
11	-0.13	-0.3833
11	0.2133	-0.9967
11	0.9967	-0.9967
11	-0.88	1.0
11	-0.13	-0.3833
11	0.9967	0.25
11	0.9967	1.0
11	-0.88	1.0
11	-1.0	1.0
11	-1.0	-0.85
11	-0.13	-0.3833
12	-0.2533	0.04
12	0.1367	-0.9967
12	0.9967	-0.9967
12	0.9967	-0.1133
12	-1.0	0.1533
12	-1.0	-0.9967
12	0.1367	-0.9967
12	-0.2533	0.04
12	-0.64	1.0
12	-0.2533	0.04
12	0.9967	-0.1133
12	0.9967	1.0
12	-1.0	1.0
12	-1.0	0.1533
12	-0.2533	0.04
12	-0.64	1.0
13	-0.3567	-0.34
13	-1.0	-0.5467
13	-1.0	-0.9967
13	-0.8233	-0.9967
13	0.9967	0.1333
13	-0.3567	-0.34
13	-0.8233	-0.9967
13	0.9967	-0.9967
13	0.9967	1.0
13	0.6367	1.0
13	-0.3567	-0.34
13	0.9967	0.1333
13	-1.0	-0.5467
13	-0.3567	-0.34
13	0.6367	1.0
13	-1.0	1.0
14	0.76	-0.9
14	0.7833	-0.9967
14	0.9967	-0.9967
14	0.9967	-0.9967
14	-1.0	-0.64
14	-1.0	-0.9967
14	0.7833	-0.9967
14	0.76	-0.9
14	0.0033	1.0
14	0.76	-0.9
14	0.9967	-0.9967
14	0.9967	1.0
14	-1.0	1.0
14	-1.0	-0.64
14	0.76	-0.9
14	0.0033	1.0
15	-0.5833	-0.9967
15	0.9967	-0.92
15	0.9967	-0.92
15	-0.3533	-0.44
15	-1.0	-0.1967
15	-1.0	-0.9967
15	-0.5833	-0.9967
15	-0.3533	-0.44
15	0.1967	1.0
15	-0.3533	-0.44
15	0.9967	-0.92
15	0.9967	1.0
15	-1.0	1.0
15	-1.0	-0.1967
15	-0.3533	-0.44
15	0.1967	1.0
16	0.51	0.1567
16	0.32	-0.9967
16	0.9967	-0.9967
16	0.9967	0.1467
16	-1.0	0.2433
16	-1.0	-0.9967
16	0.32	-0.9967
16	0.51	0.1567
16	0.6233	1.0
16	0.51	0.1567
16	0.9967	0.1467
16	0.9967	1.0
16	-1.0	1.0
16	-1.0	0.2433
16	0.51	0.1567
16	0.6233	1.0
17	-0.13	0.3733
17	-1.0	0.0333
17	-1.0	-0.9967
17	-0.84	-0.9967
17	0.9967	0.84
17	-0.13	0.3733
17	-0.84	-0.9967
17	0.9967	-0.9967
17	-0.13	0.3733
17	0.9967	0.84
17	0.9967	1.0
17	0.2	1.0
17	-1.0	0.0333
17	-0.13	0.3733
17	0.2	1.0
17	-1.0	1.0
18	0.94	-0.9933
18	0.76	-0.3467
18	-1.0	-0.46
18	-1.0	-0.9967
18	0.76	-0.3467
18	0.94	-0.9933
18	0.94	-0.9933
18	0.9967	-0.3167
18	0.3833	1.0
18	0.76	-0.3467
18	0.9967	-0.3167
18	0.9967	1.0
18	-1.0	1.0
18	-1.0	-0.46
18	0.76	-0.3467
18	0.3833	1.0
19	0.2	0.1633
19	0.05	-0.9967
19	0.9967	-0.9967
19	0.9967	-0.2533
19	-0.9967	0.82
19	-1.0	-0.9967
19	0.05	-0.9967
19	0.2	0.1633
19	0.2833	1.0
19	0.2	0.1633
19	0.9967	-0.2533
19	0.9967	1.0
19	-1.0	1.0
