dataset	x	y
0	0.6333	-0.7333
0	0.6346	-0.6484
0	0.6083	-0.7371
0	0.6385	-0.6666
0	0.582	-0.7485
0	0.6333	-0.7209
0	0.59	-0.7706
0	-0.4067	-0.4367
0	-0.3526	-0.4201
0	-0.3632	-0.4267
0	-0.3305	-0.404
0	-0.4151	-0.4905
0	-0.3375	-0.4281
0	-0.3878	-0.4387
0	0.7567	0.2033
0	0.8434	0.205
0	0.812	0.1439
0	0.8286	0.1897
0	0.7361	0.1542
0	0.7942	0.1642
0	0.7594	0.1005
0	-0.1433	0.52
0	-0.0708	0.6177
0	-0.1596	0.5865
0	-0.1027	0.5916
0	-0.1758	0.5237
0	-0.1728	0.5817
0	-0.223	0.5814
0	0.4033	-0.32
0	0.4133	-0.2319
0	0.3135	-0.2467
0	0.3713	-0.2156
0	0.3299	-0.3082
0	0.3874	-0.3072
0	0.3218	-0.3654
0	0.2733	-0.9967
0	0.307	-0.9807
0	0.2564	-1.037
0	0.3333	-0.9708
0	0.3279	-1.0533
0	0.4112	-0.9828
0	0.3815	-0.9901
0	0.9967	-0.9967
0	1.0351	-0.9788
0	0.98	-1.076
0	1.0634	-1.0445
0	1.0351	-1.0694
0	1.039	-1.0081
0	0.9564	-1.0278
0	0.9967	-0.6233
0	1.0683	-0.538
0	0.9697	-0.6207
0	1.0332	-0.5932
0	0.9396	-0.629
0	0.9985	-0.5726
0	0.9509	-0.602
0	-0.9967	0.4433
0	-0.9073	0.47
0	-0.9246	0.4048
0	-0.8352	0.4583
0	-0.8985	0.4082
0	-0.8034	0.505
0	-0.8081	0.4399
0	-1.0	-0.9967
0	-0.9366	-0.9943
0	-0.9836	-1.07
0	-0.9484	-0.9717
0	-1.0366	-0.988
0	-1.0278	-0.8983
0	-1.042	-0.9652
0	0.2733	-0.9967
0	0.2867	-0.9152
0	0.1939	-0.9257
0	0.2155	-0.8355
0	0.1553	-0.9311
0	0.2286	-0.8316
0	0.2145	-0.8799
0	0.4033	-0.32
0	0.4444	-0.2364
0	0.3889	-0.3199
0	0.4134	-0.2623
0	0.3153	-0.3155
0	0.3868	-0.2237
0	0.2876	-0.3227
0	0.62	1.0
0	0.7075	1.0842
0	0.7043	1.0629
0	0.7847	1.1324
0	0.7043	1.043
0	0.7662	1.1092
0	0.7417	1.0213
0	0.4033	-0.32
0	0.5032	-0.3121
0	0.466	-0.3655
0	0.5246	-0.3118
0	0.4841	-0.4041
0	0.5783	-0.3508
0	0.5527	-0.4237
0	0.9967	-0.6233
0	1.0172	-0.537
0	0.9946	-0.614
0	1.0216	-0.5526
0	0.9557	-0.5861
0	0.9564	-0.5299
0	0.8957	-0.555
0	0.9967	1.0
0	1.0102	1.009
0	0.9565	0.9924
0	0.9885	1.0293
0	0.97	0.958
0	1.0495	0.979
0	0.9514	0.9094
0	-1.0	1.0
0	-0.9403	1.01
0	-1.0366	0.9643
0	-0.968	1.0523
0	-1.0622	0.9594
0	-1.0197	0.9754
0	-1.0416	0.8948
0	-0.9967	0.4433
0	-0.9649	0.4668
0	-1.0405	0.4601
0	-0.9589	0.5383
0	-1.0492	0.5338
0	-1.0359	0.5648
0	-1.0446	0.4686
0	0.4033	-0.32
0	0.4174	-0.3009
0	0.3753	-0.3427
0	0.4106	-0.3342
0	0.3911	-0.3617
0	0.4639	-0.3158
0	0.422	-0.389
0	0.62	1.0
0	0.6506	1.0108
0	0.5997	1.0001
0	0.6506	1.0411
0	0.6285	0.9672
0	0.7196	1.0423
0	0.7191	1.0351
1	-0.0633	-0.71
1	0.0209	-0.6589
1	0.0146	-0.6702
1	0.1134	-0.6628
1	0.0514	-0.7266
1	0.1027	-0.6396
1	0.0664	-0.7152
1	0.8767	-0.6133
1	0.9707	-0.5664
1	0.9521	-0.5711
1	0.9839	-0.5221
1	0.9066	-0.5523
1	0.9606	-0.5063
1	0.8679	-0.5498
1	0.7933	0.42
1	0.8153	0.512
1	0.7506	0.5082
1	0.7512	0.5741
1	0.745	0.5648
1	0.7818	0.6
1	0.7488	0.5787
1	-0.2267	0.2733
1	-0.146	0.3001
1	-0.2192	0.2207
1	-0.1936	0.2255
1	-0.2519	0.1953
1	-0.2082	0.2885
1	-0.3054	0.2722
1	0.6933	-0.31
1	0.7177	-0.2358
1	0.6778	-0.2578
1	0.6834	-0.1757
1	0.6076	-0.2409
1	0.6989	-0.2227
1	0.6504	-0.2474
1	-1.0	-0.5467
1	-0.9895	-0.4956
1	-1.0341	-0.5574
1	-0.9538	-0.4981
1	-1.038	-0.54
1	-0.9903	-0.4652
1	-1.0704	-0.5308
1	-1.0	-0.9967
1	-0.9296	-0.9161
1	-0.9493	-0.9451
1	-0.9368	-0.8988
1	-0.9629	-0.9044
1	-0.8921	-0.8995
1	-0.9299	-0.9948
1	0.8133	-0.9967
1	0.8477	-0.9419
1	0.8102	-1.0321
1	0.8986	-0.9338
1	0.8025	-0.9713
