dataset	x	y
0	-0.3267	-0.6767
0	-0.3267	-0.6767
0	-0.3267	-0.6767
0	-0.3267	-0.6767
0	-0.3267	-0.6767
0	-0.3267	-0.6767
0	-0.3267	-0.6767
0	0.6033	-0.38
0	0.6033	-0.38
0	0.6033	-0.38
0	0.6033	-0.38
0	0.6033	-0.38
0	0.6033	-0.38
0	0.6033	-0.38
0	0.3667	0.58
0	0.3667	0.58
0	0.3667	0.58
0	0.3667	0.58
0	0.3667	0.58
0	0.3667	0.58
0	0.3667	0.58
0	-0.5867	0.2567
0	-0.5867	0.2567
0	-0.5867	0.2567
0	-0.5867	0.2567
0	-0.5867	0.2567
0	-0.5867	0.2567
0	-0.5867	0.2567
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.9967
0	-1.0	-0.9967
0	-1.0	-0.9967
0	-1.0	-0.9967
0	-1.0	-0.9967
0	-1.0	-0.9967
0	-1.0	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.3067	-0.9967
0	0.9967	-0.9967
0	0.9967	-0.9967
0	0.9967	-0.9967
0	0.9967	-0.9967
0	0.9967	-0.9967
0	0.9967	-0.9967
0	0.9967	-0.9967
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	0.41
0	0.9967	1.0
0	0.9967	1.0
0	0.9967	1.0
0	0.9967	1.0
0	0.9967	1.0
0	0.9967	1.0
0	0.9967	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-0.3067	1.0
0	-1.0	1.0
0	-1.0	1.0
0	-1.0	1.0
0	-1.0	1.0
0	-1.0	1.0
0	-1.0	1.0
0	-1.0	1.0
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	-1.0	-0.6467
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
0	0.03	-0.1167
1	-0.7667	-0.3667
1	-0.7667	-0.3667
1	-0.7667	-0.3667
1	-0.7667	-0.3667
1	-0.7667	-0.3667
1	-0.7667	-0.3667
1	-0.7667	-0.3667
1	0.2567	-0.3367
1	0.2567	-0.3367
1	0.2567	-0.3367
1	0.2567	-0.3367
1	0.2567	-0.3367
1	0.2567	-0.3367
1	0.2567	-0.3367
1	0.2933	0.6767
1	0.2933	0.6767
1	0.2933	0.6767
1	0.2933	0.6767
1	0.2933	0.6767
1	0.2933	0.6767
1	0.2933	0.6767
1	-0.67	0.6
1	-0.67	0.6
1	-0.67	0.6
1	-0.67	0.6
1	-0.67	0.6
1	-0.67	0.6
1	-0.67	0.6
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-1.0	0.1033
1	-1.0	0.1033
1	-1.0	0.1033
1	-1.0	0.1033
1	-1.0	0.1033
1	-1.0	0.1033
1	-1.0	0.1033
1	-1.0	-0.9967
1	-1.0	-0.9967
1	-1.0	-0.9967
1	-1.0	-0.9967
1	-1.0	-0.9967
1	-1.0	-0.9967
1	-1.0	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	0.9967	0.5133
1	0.9967	0.5133
1	0.9967	0.5133
1	0.9967	0.5133
1	0.9967	0.5133
1	0.9967	0.5133
1	0.9967	0.5133
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.4133	0.21
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	-0.6667	-0.9967
1	0.9967	-0.9967
1	0.9967	-0.9967
1	0.9967	-0.9967
