dataset	x	y
0	0.8767	-0.81
0	-0.1833	-0.7933
0	0.3733	0.3533
0	-0.4533	0.0033
1	-0.0667	-0.7533
1	0.88	-0.67
1	0.74	0.39
1	-0.2633	0.2167
2	0.3767	-0.2733
2	-0.62	-0.32
2	0.2933	0.71
2	-0.7233	0.7233
3	0.49	-0.6833
3	-0.5167	-0.69
3	0.42	0.3367
3	-0.5833	0.2933
4	-0.3733	-0.4267
4	0.61	-0.2433
4	0.4867	0.7233
4	-0.51	0.5767
5	0.6367	-0.8633
5	-0.41	-0.7167
5	0.7233	0.09
5	-0.2467	0.2833
6	0.57	-0.5067
6	-0.4467	-0.2967
6	0.5567	0.4833
6	-0.4033	0.6967
7	-0.5533	-0.5167
7	0.4567	-0.4133
7	0.47	0.59
7	-0.5267	0.4833
8	-0.25	-0.3767
8	0.71	-0.3167
8	0.8033	0.74
8	-0.2733	0.6
9	-0.43	-0.3433
9	0.4867	-0.2733
9	0.76	0.87
9	-0.3633	0.55
